regime,start,end,bid_offset,target_profit,fills,buys,sells,net_pnl,return_pct,max_dd,snapshots
covid,2020-03-01,2020-04-30,120,20,36,21,15,$-2.18,-0.22%,$46.32,1361
covid,2020-03-01,2020-04-30,120,10,38,21,17,$-2.10,-0.21%,$46.25,1361
covid,2020-03-01,2020-04-30,120,5,39,21,18,$-2.06,-0.21%,$46.14,1361
covid,2020-03-01,2020-04-30,180,20,18,13,5,$-0.97,-0.10%,$44.29,1361
covid,2020-03-01,2020-04-30,180,10,18,13,5,$-0.77,-0.08%,$44.07,1361
covid,2020-03-01,2020-04-30,80,5,55,29,26,$-2.95,-0.30%,$46.76,1361
bull,2021-10-01,2021-11-30,120,20,156,82,74,$-78.30,-7.83%,$137.22,1440
bull,2021-10-01,2021-11-30,120,10,148,72,76,$-86.60,-8.66%,$138.56,1440
bull,2021-10-01,2021-11-30,120,5,139,67,72,$-86.80,-8.68%,$134.49,1440
bull,2021-10-01,2021-11-30,180,20,63,37,26,$-77.70,-7.77%,$134.16,1440
bull,2021-10-01,2021-11-30,180,10,57,32,25,$-78.03,-7.80%,$133.89,1440
bull,2021-10-01,2021-11-30,80,5,217,126,91,$-92.65,-9.26%,$147.22,1440
bear,2022-05-01,2022-07-31,120,20,35,27,8,$-152.54,-15.25%,$214.01,2183
bear,2022-05-01,2022-07-31,120,10,34,25,9,$-151.84,-15.18%,$212.14,2183
bear,2022-05-01,2022-07-31,120,5,32,24,8,$-151.41,-15.14%,$211.21,2183
bear,2022-05-01,2022-07-31,180,20,17,15,2,$-144.68,-14.47%,$202.21,2183
bear,2022-05-01,2022-07-31,180,10,17,15,2,$-143.50,-14.35%,$201.04,2183
bear,2022-05-01,2022-07-31,80,5,39,26,13,$-157.70,-15.77%,$217.38,2183
range,2023-01-01,2023-03-31,120,20,293,156,137,$4.22,0.42%,$52.24,2136
range,2023-01-01,2023-03-31,120,10,276,145,131,$1.24,0.12%,$52.30,2136
range,2023-01-01,2023-03-31,120,5,259,137,122,$-0.34,-0.03%,$52.60,2136
range,2023-01-01,2023-03-31,180,20,167,82,85,$3.66,0.37%,$45.19,2136
range,2023-01-01,2023-03-31,180,10,169,75,94,$1.61,0.16%,$37.87,2136
range,2023-01-01,2023-03-31,80,5,359,183,176,$-2.41,-0.24%,$53.85,2136
etf,2024-10-01,2024-12-31,120,20,286,146,140,$-57.71,-5.77%,$157.22,2184
etf,2024-10-01,2024-12-31,120,10,273,141,132,$-64.83,-6.48%,$157.22,2184
etf,2024-10-01,2024-12-31,120,5,253,135,118,$-68.40,-6.84%,$157.22,2184
etf,2024-10-01,2024-12-31,180,20,201,100,101,$-35.08,-3.51%,$66.53,2184
etf,2024-10-01,2024-12-31,180,10,194,100,94,$-16.43,-1.64%,$58.19,2184
etf,2024-10-01,2024-12-31,80,5,284,151,133,$-66.95,-6.70%,$157.22,2184
now,2025-01-01,2025-03-13,120,20,16,14,2,$-159.23,-15.92%,$304.67,1701
now,2025-01-01,2025-03-13,120,10,115,59,56,$-127.97,-12.80%,$216.07,1701
now,2025-01-01,2025-03-13,120,5,40,24,16,$-161.78,-16.18%,$256.90,1701
now,2025-01-01,2025-03-13,180,20,80,45,35,$-108.86,-10.89%,$199.29,1701
now,2025-01-01,2025-03-13,180,10,77,42,35,$-105.92,-10.59%,$190.70,1701
now,2025-01-01,2025-03-13,80,5,65,36,29,$-159.83,-15.98%,$240.88,1701
